。 : 。 0 | 、 1 | 的 2 | 国 3 | ， 4 | 一 5 | 在 6 | 中 7 | 人 8 | 了 9 | 
学 : 者 0 | 关 1 | 开 2 | 产 3 | 下 4 | ５ 5 | 建 6 | ３ 7 | 于 8 | 力 9 | 

现 : ５ 0 | ３ 1 | 产 2 | 力 3 | 关 4 | 法 5 | 者 6 | 高 7 | 开 8 | 公 9 | 

高 : 法 0 | 高 1 | 力 2 | 公 3 | ３ 4 | 现 5 | ５ 6 | 动 7 | 产 8 | 加 9 | 

社 : 现 0 | 动 1 | 公 2 | 加 3 | 高 4 | 就 5 | 法 6 | 分 7 | 力 8 | 社 9 | 

者 : 就 0 | 分 1 | 加 2 | 社 3 | 动 4 | 报 5 | 现 6 | 前 7 | 公 8 | 后 9 | 

３ : 报 0 | 前 1 | 社 2 | 后 3 | 分 4 | 员 5 | 就 6 | 自 7 | 加 8 | 用 9 | 

前 : 员 0 | 自 1 | 后 2 | 用 3 | 前 4 | 定 5 | 报 6 | 合 7 | 社 8 | 说 9 | 

就 : 定 0 | 合 1 | 用 2 | 说 3 | 自 4 | 区 5 | 员 6 | 能 7 | 后 8 | ８ 9 | 

农 : 区 0 | 能 1 | 说 2 | ８ 3 | 合 4 | 与 5 | 定 6 | 过 7 | 用 8 | 济 9 | 

过 : 与 0 | 过 1 | ８ 2 | 济 3 | 能 4 | 面 5 | 区 6 | 场 7 | 说 8 | ４ 9 | 

面 : 面 0 | 场 1 | 济 2 | ４ 3 | 过 4 | 化 5 | 与 6 | 事 7 | ８ 8 | 制 9 | 

得 : 化 0 | 事 1 | ４ 2 | 制 3 | 场 4 | 机 5 | 面 6 | 等 7 | 济 8 | 得 9 | 

等 : 机 0 | 等 1 | 制 2 | 得 3 | 事 4 | 电 5 | 化 6 | 记 7 | ４ 8 | 天 9 | 

事 : 电 0 | 记 1 | 得 2 | 天 3 | 等 4 | ： 5 | 机 6 | 也 7 | 制 8 | ６ 9 | 

务 : ： 0 | 也 1 | 天 2 | ６ 3 | 记 4 | 总 5 | 电 6 | 资 7 | 得 8 | ７ 9 | 

利 : 总 0 | 资 1 | ６ 2 | ７ 3 | 也 4 | 务 5 | ： 6 | 利 7 | 天 8 | 水 9 | 

电 : 务 0 | 利 1 | ７ 2 | 水 3 | 资 4 | 好 5 | 总 6 | 之 7 | ６ 8 | 体 9 | 

之 : 好 0 | 之 1 | 水 2 | 体 3 | 利 4 | 而 5 | 务 6 | 文 7 | ７ 8 | 各 9 | 

委 : 而 0 | 文 1 | 体 2 | 各 3 | 之 4 | 北 5 | 好 6 | 小 7 | 水 8 | 外 9 | 

各 : 北 0 | 小 1 | 各 2 | 外 3 | 文 4 | 党 5 | 而 6 | 委 7 | 体 8 | 表 9 | 

今 : 党 0 | 委 1 | 外 2 | 表 3 | 小 4 | 平 5 | 北 6 | 设 7 | 各 8 | 将 9 | 

６ : 平 0 | 设 1 | 表 2 | 将 3 | 委 4 | 心 5 | 党 6 | 代 7 | 外 8 | 问 9 | 

改 : 心 0 | 代 1 | 将 2 | 问 3 | 设 4 | 万 5 | 平 6 | 金 7 | 表 8 | 企 9 | 

文 : 万 0 | 金 1 | 问 2 | 企 3 | 代 4 | 从 5 | 心 6 | 美 7 | 将 8 | 次 9 | 

７ : 从 0 | 美 1 | 企 2 | 次 3 | 金 4 | 队 5 | 万 6 | 华 7 | 问 8 | 度 9 | 

两 : 队 0 | 华 1 | 次 2 | 度 3 | 美 4 | 提 5 | 从 6 | 科 7 | 企 8 | 农 9 | 

将 : 提 0 | 科 1 | 度 2 | 农 3 | 华 4 | 可 5 | 队 6 | 当 7 | 次 8 | 今 9 | 

次 : 可 0 | 当 1 | 农 2 | 今 3 | 科 4 | 两 5 | 提 6 | 元 7 | 度 8 | 保 9 | 

目 : 两 0 | 元 1 | 今 2 | 保 3 | 当 4 | 里 5 | 可 6 | 十 7 | 农 8 | 位 9 | 

入 : 里 0 | 十 1 | 保 2 | 位 3 | 元 4 | 着 5 | 两 6 | 种 7 | 今 8 | 其 9 | 

村 : 着 0 | 种 1 | 位 2 | 其 3 | 十 4 | 内 5 | 里 6 | 起 7 | 保 8 | 入 9 | 

华 : 内 0 | 起 1 | 其 2 | 入 3 | 种 4 | （ 5 | 着 6 | ） 7 | 位 8 | 子 9 | 

第 : （ 0 | ） 1 | 入 2 | 子 3 | 起 4 | 明 5 | 内 6 | 还 7 | 其 8 | 题 9 | 

里 : 明 0 | 还 1 | 子 2 | 题 3 | ） 4 | 强 5 | （ 6 | 目 7 | 入 8 | 基 9 | 

已 : 强 0 | 目 1 | 题 2 | 基 3 | 还 4 | 所 5 | 明 6 | 名 7 | 子 8 | 第 9 | 

科 : 所 0 | 名 1 | 基 2 | 第 3 | 目 4 | 改 5 | 强 6 | 系 7 | 题 8 | 已 9 | 

着 : 改 0 | 系 1 | 第 2 | 已 3 | 名 4 | 通 5 | 所 6 | 立 7 | 基 8 | 军 9 | 

（ : 通 0 | 立 1 | 已 2 | 军 3 | 系 4 | 都 5 | 改 6 | 导 7 | 第 8 | 安 9 | 

通 : 都 0 | 导 1 | 军 2 | 安 3 | 立 4 | 三 5 | 通 6 | 领 7 | 已 8 | 正 9 | 

任 : 三 0 | 领 1 | 安 2 | 正 3 | 导 4 | 任 5 | 都 6 | 向 7 | 军 8 | 特 9 | 

特 : 任 0 | 向 1 | 正 2 | 特 3 | 领 4 | 最 5 | 三 6 | 道 7 | 安 8 | 决 9 | 

技 : 最 0 | 道 1 | 特 2 | 决 3 | 向 4 | 世 5 | 任 6 | 组 7 | 正 8 | 江 9 | 

增 : 世 0 | 组 1 | 决 2 | 江 3 | 道 4 | 教 5 | 最 6 | 使 7 | 特 8 | 品 9 | 

议 : 教 0 | 使 1 | 江 2 | 品 3 | 组 4 | 议 5 | 世 6 | 海 7 | 决 8 | 技 9 | 

由 : 议 0 | 海 1 | 品 2 | 技 3 | 使 4 | 共 5 | 教 6 | 情 7 | 江 8 | 意 9 | 

持 : 共 0 | 情 1 | 技 2 | 意 3 | 海 4 | 活 5 | 议 6 | 解 7 | 品 8 | 西 9 | 

义 : 活 0 | 解 1 | 意 2 | 西 3 | 情 4 | 并 5 | 共 6 | 些 7 | 技 8 | 京 9 | 

门 : 并 0 | 些 1 | 西 2 | 京 3 | 解 4 | 南 5 | 活 6 | 增 7 | 意 8 | 持 9 | 

程 : 南 0 | 增 1 | 京 2 | 持 3 | 些 4 | 术 5 | 并 6 | 统 7 | 西 8 | 门 9 | 

安 : 术 0 | 统 1 | 持 2 | 门 3 | 增 4 | 点 5 | 南 6 | 此 7 | 京 8 | 由 9 | 

此 : 点 0 | 此 1 | 门 2 | 由 3 | 统 4 | 府 5 | 术 6 | 比 7 | 持 8 | 去 9 | 

西 : 府 0 | 比 1 | 由 2 | 去 3 | 此 4 | 省 5 | 点 6 | 期 7 | 门 8 | 应 9 | 

活 : 省 0 | 期 1 | 去 2 | 应 3 | 比 4 | 管 5 | 府 6 | 战 7 | 由 8 | 干 9 | 

点 : 管 0 | 战 1 | 应 2 | 干 3 | 期 4 | 间 5 | 省 6 | 及 7 | 去 8 | 书 9 | 

军 : 间 0 | 及 1 | 干 2 | 书 3 | 战 4 | 治 5 | 管 6 | 院 7 | 应 8 | 界 9 | 

府 : 治 0 | 院 1 | 书 2 | 界 3 | 及 4 | 结 5 | 间 6 | 交 7 | 干 8 | ； 9 | 

二 : 结 0 | 交 1 | 界 2 | ； 3 | 院 4 | 联 5 | 治 6 | 量 7 | 书 8 | 达 9 | 

教 : 联 0 | 量 1 | ； 2 | 达 3 | 交 4 | 程 5 | 结 6 | 如 7 | 界 8 | 收 9 | 

项 : 程 0 | 如 1 | 达 2 | 收 3 | 量 4 | 司 5 | 联 6 | 东 7 | ； 8 | 性 9 | 

路 : 司 0 | 东 1 | 收 2 | 性 3 | 如 4 | 际 5 | 程 6 | 村 7 | 达 8 | 然 9 | 

亚 : 际 0 | 村 1 | 性 2 | 然 3 | 东 4 | 义 5 | 司 6 | 《 7 | 收 8 | 》 9 | 

取 : 义 0 | 《 1 | 然 2 | 》 3 | 村 4 | 局 5 | 际 6 | 取 7 | 性 8 | 据 9 | 

东 : 局 0 | 取 1 | 》 2 | 据 3 | 《 4 | 把 5 | 义 6 | 因 7 | 然 8 | 调 9 | 

然 : 把 0 | 因 1 | 据 2 | 调 3 | 取 4 | 办 5 | 局 6 | 二 7 | 》 8 | 革 9 | 

司 : 办 0 | 二 1 | 调 2 | 革 3 | 因 4 | 计 5 | 把 6 | — 7 | 据 8 | 但 9 | 

战 : 计 0 | — 1 | 革 2 | 但 3 | 二 4 | 相 5 | 办 6 | 论 7 | 调 8 | 求 9 | 

调 : 相 0 | 论 1 | 但 2 | 求 3 | — 4 | 团 5 | 计 6 | 职 7 | 革 8 | 近 9 | 

相 : 团 0 | 职 1 | 求 2 | 近 3 | 论 4 | 斯 5 | 相 6 | 先 7 | 但 8 | 信 9 | 

但 : 斯 0 | 先 1 | 近 2 | 信 3 | 职 4 | 规 5 | 团 6 | 路 7 | 求 8 | 广 9 | 

步 : 规 0 | 路 1 | 信 2 | 广 3 | 先 4 | 认 5 | 斯 6 | 受 7 | 近 8 | ． 9 | 

运 : 认 0 | 受 1 | 广 2 | ． 3 | 路 4 | 处 5 | 规 6 | 无 7 | 信 8 | 项 9 | 

认 : 处 0 | 无 1 | ． 2 | 项 3 | 受 4 | 山 5 | 认 6 | 物 7 | 广 8 | 众 9 | 

． : 山 0 | 物 1 | 项 2 | 众 3 | 无 4 | 放 5 | 处 6 | 步 7 | ． 8 | 指 9 | 

求 : 放 0 | 步 1 | 众 2 | 指 3 | 物 4 | 育 5 | 山 6 | 手 7 | 项 8 | 集 9 | 

近 : 育 0 | 手 1 | 指 2 | 集 3 | 步 4 | 风 5 | 放 6 | 更 7 | 众 8 | 看 9 | 

举 : 风 0 | 更 1 | 集 2 | 看 3 | 手 4 | 想 5 | 育 6 | 商 7 | 指 8 | 亚 9 | 

志 : 想 0 | 商 1 | 看 2 | 亚 3 | 更 4 | ％ 5 | 风 6 | 研 7 | 集 8 | 口 9 | 

信 : ％ 0 | 研 1 | 亚 2 | 口 3 | 商 4 | 投 5 | 想 6 | 常 7 | 看 8 | 克 9 | 

投 : 投 0 | 常 1 | 口 2 | 克 3 | 研 4 | 原 5 | ％ 6 | 深 7 | 亚 8 | 级 9 | 

城 : 原 0 | 深 1 | 克 2 | 级 3 | 常 4 | 支 5 | 投 6 | 形 7 | 口 8 | 举 9 | 

形 : 支 0 | 形 1 | 级 2 | 举 3 | 深 4 | 件 5 | 原 6 | 流 7 | 克 8 | 志 9 | 

克 : 件 0 | 流 1 | 举 2 | 志 3 | 形 4 | 没 5 | 支 6 | 少 7 | 级 8 | 至 9 | 

商 : 没 0 | 少 1 | 志 2 | 至 3 | 流 4 | 拉 5 | 件 6 | 施 7 | 举 8 | 赛 9 | 

研 : 拉 0 | 施 1 | 至 2 | 赛 3 | 少 4 | 被 5 | 没 6 | 城 7 | 志 8 | 条 9 | 

式 : 被 0 | 城 1 | 赛 2 | 条 3 | 施 4 | 又 5 | 拉 6 | 难 7 | 至 8 | 果 9 | 

赛 : 又 0 | 难 1 | 条 2 | 果 3 | 城 4 | 车 5 | 被 6 | 老 7 | 赛 8 | 式 9 | 

至 : 车 0 | 老 1 | 果 2 | 式 3 | 难 4 | 参 5 | 又 6 | 造 7 | 条 8 | 接 9 | 

车 : 参 0 | 造 1 | 式 2 | 接 3 | 老 4 | 精 5 | 车 6 | 只 7 | 果 8 | 专 9 | 

拉 : 精 0 | 只 1 | 接 2 | 专 3 | 造 4 | 群 5 | 参 6 | 运 7 | 式 8 | 质 9 | 

创 : 群 0 | 运 1 | 专 2 | 质 3 | 只 4 | 服 5 | 精 6 | 县 7 | 接 8 | 做 9 | 

被 : 服 0 | 县 1 | 质 2 | 做 3 | 运 4 | 灾 5 | 群 6 | 费 7 | 专 8 | 几 9 | 

精 : 灾 0 | 费 1 | 做 2 | 几 3 | 县 4 | 织 5 | 服 6 | 观 7 | 质 8 | 样 9 | 

只 : 织 0 | 观 1 | 几 2 | 样 3 | 费 4 | 央 5 | 灾 6 | 别 7 | 做 8 | 见 9 | 

专 : 央 0 | 别 1 | 样 2 | 见 3 | 观 4 | 五 5 | 织 6 | 数 7 | 几 8 | 示 9 | 

服 : 五 0 | 数 1 | 见 2 | 示 3 | 别 4 | 协 5 | 央 6 | 四 7 | 样 8 | 给 9 | 

史 : 协 0 | 四 1 | 示 2 | 给 3 | 数 4 | 选 5 | 五 6 | 格 7 | 见 8 | 创 9 | 

视 : 选 0 | 格 1 | 给 2 | 创 3 | 四 4 | 洪 5 | 协 6 | 尔 7 | 示 8 | 查 9 | 

支 : 洪 0 | 尔 1 | 创 2 | 查 3 | 格 4 | 防 5 | 选 6 | 林 7 | 给 8 | 很 9 | 

物 : 防 0 | 林 1 | 查 2 | 很 3 | 尔 4 | 那 5 | 洪 6 | 思 7 | 创 8 | 知 9 | 

参 : 那 0 | 思 1 | 很 2 | 知 3 | 林 4 | 标 5 | 防 6 | 价 7 | 查 8 | 话 9 | 

五 : 标 0 | 价 1 | 知 2 | 话 3 | 思 4 | 再 5 | 那 6 | 纪 7 | 很 8 | 头 9 | 

群 : 再 0 | 纪 1 | 话 2 | 头 3 | 价 4 | 变 5 | 标 6 | 历 7 | 知 8 | 首 9 | 

责 : 变 0 | 历 1 | 头 2 | 首 3 | 纪 4 | 回 5 | 再 6 | 严 7 | 话 8 | 张 9 | 

税 : 回 0 | 严 1 | 首 2 | 张 3 | 历 4 | 确 5 | 变 6 | 马 7 | 头 8 | 权 9 | 

势 : 确 0 | 马 1 | 张 2 | 权 3 | 严 4 | 台 5 | 回 6 | 效 7 | 首 8 | 争 9 | 

策 : 台 0 | 效 1 | 权 2 | 争 3 | 马 4 | 推 5 | 确 6 | 识 7 | 张 8 | 积 9 | 

回 : 推 0 | 识 1 | 争 2 | 积 3 | 效 4 | 百 5 | 台 6 | 势 7 | 权 8 | 究 9 | 

极 : 百 0 | 势 1 | 积 2 | 究 3 | 识 4 | 极 5 | 推 6 | 传 7 | 争 8 | 气 9 | 

境 : 极 0 | 传 1 | 究 2 | 气 3 | 势 4 | 神 5 | 百 6 | 反 7 | 积 8 | 史 9 | 

坚 : 神 0 | 反 1 | 气 2 | 史 3 | 传 4 | 视 5 | 极 6 | 走 7 | 究 8 | 真 9 | 

气 : 视 0 | 走 1 | 史 2 | 真 3 | 反 4 | 证 5 | 神 6 | 每 7 | 气 8 | 身 9 | 

价 : 证 0 | 每 1 | 真 2 | 身 3 | 走 4 | 整 5 | 视 6 | 责 7 | 史 8 | 续 9 | 

土 : 整 0 | 责 1 | 身 2 | 续 3 | 每 4 | 单 5 | 证 6 | 副 7 | 真 8 | 亿 9 | 

副 : 单 0 | 副 1 | 续 2 | 亿 3 | 责 4 | 营 5 | 整 6 | 益 7 | 身 8 | 才 9 | 

究 : 营 0 | 益 1 | 亿 2 | 才 3 | 副 4 | 转 5 | 单 6 | 险 7 | 续 8 | 李 9 | 

头 : 转 0 | 险 1 | 才 2 | 李 3 | 益 4 | 坚 5 | 营 6 | 席 7 | 亿 8 | 该 9 | 

该 : 坚 0 | 席 1 | 李 2 | 该 3 | 险 4 | 感 5 | 转 6 | 款 7 | 才 8 | 己 9 | 

况 : 感 0 | 款 1 | 该 2 | 己 3 | 席 4 | 德 5 | 坚 6 | 乡 7 | 李 8 | 周 9 | 

优 : 德 0 | 乡 1 | 己 2 | 周 3 | 款 4 | 必 5 | 感 6 | 构 7 | 该 8 | 完 9 | 

具 : 必 0 | 构 1 | 周 2 | 完 3 | 乡 4 | 优 5 | 德 6 | 布 7 | 己 8 | 打 9 | 

身 : 优 0 | 布 1 | 完 2 | 打 3 | 构 4 | 策 5 | 必 6 | 影 7 | 周 8 | 女 9 | 

感 : 策 0 | 影 1 | 打 2 | 女 3 | 布 4 | 需 5 | 优 6 | 球 7 | 完 8 | 非 9 | 

德 : 需 0 | 球 1 | 女 2 | 非 3 | 影 4 | 巴 5 | 策 6 | 族 7 | 打 8 | 准 9 | 

河 : 巴 0 | 族 1 | 非 2 | 准 3 | 球 4 | 环 5 | 需 6 | 带 7 | 女 8 | 命 9 | 

带 : 环 0 | 带 1 | 准 2 | 命 3 | 族 4 | 谈 5 | 巴 6 | 况 7 | 非 8 | 融 9 | 

转 : 谈 0 | 况 1 | 命 2 | 融 3 | 带 4 | 采 5 | 环 6 | 案 7 | 准 8 | 约 9 | 

批 : 采 0 | 案 1 | 融 2 | 约 3 | 况 4 | 岗 5 | 谈 6 | 王 7 | 命 8 | 率 9 | 

采 : 岗 0 | 王 1 | 约 2 | 率 3 | 案 4 | 清 5 | 采 6 | 直 7 | 融 8 | 护 9 | 

约 : 清 0 | 直 1 | 率 2 | 护 3 | 王 4 | 具 5 | 岗 6 | 青 7 | 约 8 | 线 9 | 

划 : 具 0 | 青 1 | 护 2 | 线 3 | 直 4 | 根 5 | 清 6 | 望 7 | 率 8 | 快 9 | 

则 : 根 0 | 望 1 | 线 2 | 快 3 | 青 4 | 批 5 | 具 6 | 备 7 | 护 8 | 色 9 | 

李 : 批 0 | 备 1 | 快 2 | 色 3 | 望 4 | 困 5 | 根 6 | 武 7 | 线 8 | 切 9 | 

切 : 困 0 | 武 1 | 色 2 | 切 3 | 备 4 | 访 5 | 批 6 | 士 7 | 快 8 | 校 9 | 

谈 : 访 0 | 士 1 | 切 2 | 校 3 | 武 4 | 告 5 | 困 6 | 供 7 | 色 8 | 许 9 | 

线 : 告 0 | 供 1 | 校 2 | 许 3 | 士 4 | 河 5 | 访 6 | 港 7 | 切 8 | 米 9 | 

告 : 河 0 | 港 1 | 许 2 | 米 3 | 供 4 | 消 5 | 告 6 | 境 7 | 校 8 | 罗 9 | 

防 : 消 0 | 境 1 | 米 2 | 罗 3 | 港 4 | 住 5 | 河 6 | 抗 7 | 许 8 | 或 9 | 

易 : 住 0 | 抗 1 | 罗 2 | 或 3 | 境 4 | 列 5 | 消 6 | 律 7 | 米 8 | 她 9 | 

青 : 列 0 | 律 1 | 或 2 | 她 3 | 抗 4 | 段 5 | 住 6 | 它 7 | 罗 8 | 仅 9 | 

始 : 段 0 | 它 1 | 她 2 | 仅 3 | 律 4 | 节 5 | 列 6 | 助 7 | 或 8 | 银 9 | 

响 : 节 0 | 助 1 | 仅 2 | 银 3 | 它 4 | 连 5 | 段 6 | 负 7 | 她 8 | 划 9 | 

镇 : 连 0 | 负 1 | 银 2 | 划 3 | 助 4 | 么 5 | 节 6 | 户 7 | 仅 8 | 引 9 | 

光 : 么 0 | 户 1 | 划 2 | 引 3 | 负 4 | 兴 5 | 连 6 | 则 7 | 银 8 | 象 9 | 

值 : 兴 0 | 则 1 | 引 2 | 象 3 | 户 4 | 光 5 | 么 6 | 失 7 | 划 8 | 值 9 | 

望 : 光 0 | 失 1 | 象 2 | 值 3 | 则 4 | 习 5 | 兴 6 | 艺 7 | 引 8 | 始 9 | 

消 : 习 0 | 艺 1 | 值 2 | 始 3 | 失 4 | 土 5 | 光 6 | 洲 7 | 象 8 | · 9 | 

兴 : 土 0 | 洲 1 | 始 2 | · 3 | 艺 4 | 届 5 | 习 6 | 响 7 | 值 8 | 房 9 | 

洪 : 届 0 | 响 1 | · 2 | 房 3 | 洲 4 | 何 5 | 土 6 | 友 7 | 始 8 | 九 9 | 

落 : 何 0 | 友 1 | 房 2 | 九 3 | 响 4 | 厂 5 | 届 6 | 医 7 | · 8 | ？ 9 | 

功 : 厂 0 | 医 1 | 九 2 | ？ 3 | 友 4 | 州 5 | 何 6 | 包 7 | 房 8 | 双 9 | 

险 : 州 0 | 包 1 | ？ 2 | 双 3 | 医 4 | 落 5 | 厂 6 | 源 7 | 九 8 | 验 9 | 

空 : 落 0 | 源 1 | 双 2 | 验 3 | 包 4 | 财 5 | 州 6 | 往 7 | ？ 8 | 断 9 | 

获 : 财 0 | 往 1 | 验 2 | 断 3 | 源 4 | 镇 5 | 落 6 | 花 7 | 双 8 | 息 9 | 

继 : 镇 0 | 花 1 | 断 2 | 息 3 | 往 4 | 范 5 | 财 6 | 越 7 | 验 8 | 考 9 | 

连 : 范 0 | 越 1 | 息 2 | 考 3 | 花 4 | 较 5 | 镇 6 | 获 7 | 断 8 | 易 9 | 

讲 : 较 0 | 获 1 | 考 2 | 易 3 | 越 4 | 师 5 | 范 6 | 香 7 | 息 8 | 讯 9 | 

士 : 师 0 | 香 1 | 易 2 | 讯 3 | 获 4 | 热 5 | 较 6 | 容 7 | 考 8 | 存 9 | 

销 : 热 0 | 容 1 | 讯 2 | 存 3 | 香 4 | 功 5 | 师 6 | 英 7 | 易 8 | 依 9 | 

础 : 功 0 | 英 1 | 存 2 | 依 3 | 容 4 | 致 5 | 热 6 | 儿 7 | 讯 8 | 继 9 | 

善 : 致 0 | 儿 1 | 依 2 | 继 3 | 英 4 | 装 5 | 功 6 | 讲 7 | 存 8 | 爱 9 | 

类 : 装 0 | 讲 1 | 继 2 | 爱 3 | 儿 4 | 游 5 | 致 6 | 亲 7 | 依 8 | 监 9 | 

息 : 游 0 | 亲 1 | 爱 2 | 监 3 | 讲 4 | 足 5 | 装 6 | 稳 7 | 继 8 | 复 9 | 

房 : 足 0 | 稳 1 | 监 2 | 复 3 | 亲 4 | 边 5 | 游 6 | 八 7 | 爱 8 | 速 9 | 

足 : 边 0 | 八 1 | 复 2 | 速 3 | 稳 4 | 型 5 | 足 6 | 类 7 | 监 8 | 空 9 | 

富 : 型 0 | 类 1 | 速 2 | 空 3 | 八 4 | 维 5 | 边 6 | 紧 7 | 复 8 | 声 9 | 

演 : 维 0 | 紧 1 | 空 2 | 声 3 | 类 4 | 警 5 | 型 6 | 宣 7 | 速 8 | 富 9 | 

厂 : 警 0 | 宣 1 | 声 2 | 富 3 | 紧 4 | 未 5 | 维 6 | 远 7 | 空 8 | 照 9 | 

抓 : 未 0 | 远 1 | 富 2 | 照 3 | 宣 4 | 图 5 | 警 6 | 欧 7 | 声 8 | 评 9 | 

型 : 图 0 | 欧 1 | 照 2 | 评 3 | 远 4 | 养 5 | 未 6 | 满 7 | 富 8 | 让 9 | 

热 : 养 0 | 满 1 | 评 2 | 让 3 | 欧 4 | 即 5 | 图 6 | 泽 7 | 照 8 | 湖 9 | 

灾 : 即 0 | 泽 1 | 让 2 | 湖 3 | 满 4 | 核 5 | 养 6 | 石 7 | 评 8 | 客 9 | 

促 : 核 0 | 石 1 | 湖 2 | 客 3 | 泽 4 | 培 5 | 即 6 | 善 7 | 让 8 | 检 9 | 

奇 : 培 0 | 善 1 | 客 2 | 检 3 | 石 4 | 乐 5 | 核 6 | 官 7 | 湖 8 | 排 9 | 

边 : 乐 0 | 官 1 | 检 2 | 排 3 | 善 4 | 察 5 | 培 6 | 危 7 | 客 8 | 销 9 | 

念 : 察 0 | 危 1 | 排 2 | 销 3 | 官 4 | 千 5 | 乐 6 | 演 7 | 检 8 | 注 9 | 

千 : 千 0 | 演 1 | 销 2 | 注 3 | 危 4 | 素 5 | 察 6 | 希 7 | 排 8 | 挥 9 | 

亲 : 素 0 | 希 1 | 注 2 | 挥 3 | 演 4 | 须 5 | 千 6 | 础 7 | 销 8 | 阿 9 | 

均 : 须 0 | 础 1 | 挥 2 | 阿 3 | 希 4 | 执 5 | 素 6 | 印 7 | 注 8 | 税 9 | 

言 : 执 0 | 印 1 | 阿 2 | 税 3 | 础 4 | 突 5 | 须 6 | 尼 7 | 挥 8 | 夫 9 | 

八 : 突 0 | 尼 1 | 税 2 | 夫 3 | 印 4 | 食 5 | 执 6 | 救 7 | 阿 8 | 按 9 | 

伊 : 食 0 | 救 1 | 夫 2 | 按 3 | 尼 4 | 言 5 | 突 6 | 态 7 | 税 8 | 贸 9 | 

击 : 言 0 | 态 1 | 按 2 | 贸 3 | 救 4 | 病 5 | 食 6 | 古 7 | 夫 8 | 初 9 | 

审 : 病 0 | 古 1 | 贸 2 | 初 3 | 态 4 | 占 5 | 言 6 | 尽 7 | 按 8 | 模 9 | 

献 : 占 0 | 尽 1 | 初 2 | 模 3 | 古 4 | 低 5 | 病 6 | 斗 7 | 贸 8 | 承 9 | 

警 : 低 0 | 斗 1 | 模 2 | 承 3 | 尽 4 | 白 5 | 占 6 | 预 7 | 初 8 | 抓 9 | 

