。 : 。 0 | 、 1 | 的 2 | 国 3 | ， 4 | 
持 : 共 0 | 情 1 | 技 2 | 意 3 | 海 4 | 

义 : 活 0 | 解 1 | 意 2 | 西 3 | 情 4 | 

门 : 并 0 | 些 1 | 西 2 | 京 3 | 解 4 | 

程 : 南 0 | 增 1 | 京 2 | 持 3 | 些 4 | 

安 : 术 0 | 统 1 | 持 2 | 门 3 | 增 4 | 

此 : 点 0 | 此 1 | 门 2 | 由 3 | 统 4 | 

西 : 府 0 | 比 1 | 由 2 | 去 3 | 此 4 | 

活 : 省 0 | 期 1 | 去 2 | 应 3 | 比 4 | 

点 : 管 0 | 战 1 | 应 2 | 干 3 | 期 4 | 

军 : 间 0 | 及 1 | 干 2 | 书 3 | 战 4 | 

府 : 治 0 | 院 1 | 书 2 | 界 3 | 及 4 | 

二 : 结 0 | 交 1 | 界 2 | ； 3 | 院 4 | 

教 : 联 0 | 量 1 | ； 2 | 达 3 | 交 4 | 

项 : 程 0 | 如 1 | 达 2 | 收 3 | 量 4 | 

路 : 司 0 | 东 1 | 收 2 | 性 3 | 如 4 | 

亚 : 际 0 | 村 1 | 性 2 | 然 3 | 东 4 | 

取 : 义 0 | 《 1 | 然 2 | 》 3 | 村 4 | 

东 : 局 0 | 取 1 | 》 2 | 据 3 | 《 4 | 

然 : 把 0 | 因 1 | 据 2 | 调 3 | 取 4 | 

司 : 办 0 | 二 1 | 调 2 | 革 3 | 因 4 | 

战 : 计 0 | — 1 | 革 2 | 但 3 | 二 4 | 

调 : 相 0 | 论 1 | 但 2 | 求 3 | — 4 | 

相 : 团 0 | 职 1 | 求 2 | 近 3 | 论 4 | 

但 : 斯 0 | 先 1 | 近 2 | 信 3 | 职 4 | 

步 : 规 0 | 路 1 | 信 2 | 广 3 | 先 4 | 

运 : 认 0 | 受 1 | 广 2 | ． 3 | 路 4 | 

认 : 处 0 | 无 1 | ． 2 | 项 3 | 受 4 | 

． : 山 0 | 物 1 | 项 2 | 众 3 | 无 4 | 

求 : 放 0 | 步 1 | 众 2 | 指 3 | 物 4 | 

近 : 育 0 | 手 1 | 指 2 | 集 3 | 步 4 | 

举 : 风 0 | 更 1 | 集 2 | 看 3 | 手 4 | 

志 : 想 0 | 商 1 | 看 2 | 亚 3 | 更 4 | 

信 : ％ 0 | 研 1 | 亚 2 | 口 3 | 商 4 | 

投 : 投 0 | 常 1 | 口 2 | 克 3 | 研 4 | 

城 : 原 0 | 深 1 | 克 2 | 级 3 | 常 4 | 

形 : 支 0 | 形 1 | 级 2 | 举 3 | 深 4 | 

克 : 件 0 | 流 1 | 举 2 | 志 3 | 形 4 | 

商 : 没 0 | 少 1 | 志 2 | 至 3 | 流 4 | 

研 : 拉 0 | 施 1 | 至 2 | 赛 3 | 少 4 | 

式 : 被 0 | 城 1 | 赛 2 | 条 3 | 施 4 | 

赛 : 又 0 | 难 1 | 条 2 | 果 3 | 城 4 | 

至 : 车 0 | 老 1 | 果 2 | 式 3 | 难 4 | 

车 : 参 0 | 造 1 | 式 2 | 接 3 | 老 4 | 

拉 : 精 0 | 只 1 | 接 2 | 专 3 | 造 4 | 

创 : 群 0 | 运 1 | 专 2 | 质 3 | 只 4 | 

被 : 服 0 | 县 1 | 质 2 | 做 3 | 运 4 | 

精 : 灾 0 | 费 1 | 做 2 | 几 3 | 县 4 | 

只 : 织 0 | 观 1 | 几 2 | 样 3 | 费 4 | 

专 : 央 0 | 别 1 | 样 2 | 见 3 | 观 4 | 

服 : 五 0 | 数 1 | 见 2 | 示 3 | 别 4 | 

史 : 协 0 | 四 1 | 示 2 | 给 3 | 数 4 | 

视 : 选 0 | 格 1 | 给 2 | 创 3 | 四 4 | 

支 : 洪 0 | 尔 1 | 创 2 | 查 3 | 格 4 | 

物 : 防 0 | 林 1 | 查 2 | 很 3 | 尔 4 | 

参 : 那 0 | 思 1 | 很 2 | 知 3 | 林 4 | 

五 : 标 0 | 价 1 | 知 2 | 话 3 | 思 4 | 

群 : 再 0 | 纪 1 | 话 2 | 头 3 | 价 4 | 

责 : 变 0 | 历 1 | 头 2 | 首 3 | 纪 4 | 

税 : 回 0 | 严 1 | 首 2 | 张 3 | 历 4 | 

势 : 确 0 | 马 1 | 张 2 | 权 3 | 严 4 | 

策 : 台 0 | 效 1 | 权 2 | 争 3 | 马 4 | 

回 : 推 0 | 识 1 | 争 2 | 积 3 | 效 4 | 

极 : 百 0 | 势 1 | 积 2 | 究 3 | 识 4 | 

境 : 极 0 | 传 1 | 究 2 | 气 3 | 势 4 | 

坚 : 神 0 | 反 1 | 气 2 | 史 3 | 传 4 | 

气 : 视 0 | 走 1 | 史 2 | 真 3 | 反 4 | 

价 : 证 0 | 每 1 | 真 2 | 身 3 | 走 4 | 

土 : 整 0 | 责 1 | 身 2 | 续 3 | 每 4 | 

副 : 单 0 | 副 1 | 续 2 | 亿 3 | 责 4 | 

究 : 营 0 | 益 1 | 亿 2 | 才 3 | 副 4 | 

头 : 转 0 | 险 1 | 才 2 | 李 3 | 益 4 | 

该 : 坚 0 | 席 1 | 李 2 | 该 3 | 险 4 | 

况 : 感 0 | 款 1 | 该 2 | 己 3 | 席 4 | 

优 : 德 0 | 乡 1 | 己 2 | 周 3 | 款 4 | 

具 : 必 0 | 构 1 | 周 2 | 完 3 | 乡 4 | 

身 : 优 0 | 布 1 | 完 2 | 打 3 | 构 4 | 

感 : 策 0 | 影 1 | 打 2 | 女 3 | 布 4 | 

德 : 需 0 | 球 1 | 女 2 | 非 3 | 影 4 | 

河 : 巴 0 | 族 1 | 非 2 | 准 3 | 球 4 | 

带 : 环 0 | 带 1 | 准 2 | 命 3 | 族 4 | 

转 : 谈 0 | 况 1 | 命 2 | 融 3 | 带 4 | 

批 : 采 0 | 案 1 | 融 2 | 约 3 | 况 4 | 

采 : 岗 0 | 王 1 | 约 2 | 率 3 | 案 4 | 

约 : 清 0 | 直 1 | 率 2 | 护 3 | 王 4 | 

划 : 具 0 | 青 1 | 护 2 | 线 3 | 直 4 | 

则 : 根 0 | 望 1 | 线 2 | 快 3 | 青 4 | 

李 : 批 0 | 备 1 | 快 2 | 色 3 | 望 4 | 

切 : 困 0 | 武 1 | 色 2 | 切 3 | 备 4 | 

谈 : 访 0 | 士 1 | 切 2 | 校 3 | 武 4 | 

线 : 告 0 | 供 1 | 校 2 | 许 3 | 士 4 | 

告 : 河 0 | 港 1 | 许 2 | 米 3 | 供 4 | 

防 : 消 0 | 境 1 | 米 2 | 罗 3 | 港 4 | 

易 : 住 0 | 抗 1 | 罗 2 | 或 3 | 境 4 | 

青 : 列 0 | 律 1 | 或 2 | 她 3 | 抗 4 | 

始 : 段 0 | 它 1 | 她 2 | 仅 3 | 律 4 | 

响 : 节 0 | 助 1 | 仅 2 | 银 3 | 它 4 | 

镇 : 连 0 | 负 1 | 银 2 | 划 3 | 助 4 | 

光 : 么 0 | 户 1 | 划 2 | 引 3 | 负 4 | 

值 : 兴 0 | 则 1 | 引 2 | 象 3 | 户 4 | 

望 : 光 0 | 失 1 | 象 2 | 值 3 | 则 4 | 

消 : 习 0 | 艺 1 | 值 2 | 始 3 | 失 4 | 

兴 : 土 0 | 洲 1 | 始 2 | · 3 | 艺 4 | 

洪 : 届 0 | 响 1 | · 2 | 房 3 | 洲 4 | 

落 : 何 0 | 友 1 | 房 2 | 九 3 | 响 4 | 

功 : 厂 0 | 医 1 | 九 2 | ？ 3 | 友 4 | 

险 : 州 0 | 包 1 | ？ 2 | 双 3 | 医 4 | 

空 : 落 0 | 源 1 | 双 2 | 验 3 | 包 4 | 

获 : 财 0 | 往 1 | 验 2 | 断 3 | 源 4 | 

继 : 镇 0 | 花 1 | 断 2 | 息 3 | 往 4 | 

连 : 范 0 | 越 1 | 息 2 | 考 3 | 花 4 | 

讲 : 较 0 | 获 1 | 考 2 | 易 3 | 越 4 | 

士 : 师 0 | 香 1 | 易 2 | 讯 3 | 获 4 | 

销 : 热 0 | 容 1 | 讯 2 | 存 3 | 香 4 | 

础 : 功 0 | 英 1 | 存 2 | 依 3 | 容 4 | 

善 : 致 0 | 儿 1 | 依 2 | 继 3 | 英 4 | 

类 : 装 0 | 讲 1 | 继 2 | 爱 3 | 儿 4 | 

息 : 游 0 | 亲 1 | 爱 2 | 监 3 | 讲 4 | 

房 : 足 0 | 稳 1 | 监 2 | 复 3 | 亲 4 | 

足 : 边 0 | 八 1 | 复 2 | 速 3 | 稳 4 | 

富 : 型 0 | 类 1 | 速 2 | 空 3 | 八 4 | 

演 : 维 0 | 紧 1 | 空 2 | 声 3 | 类 4 | 

厂 : 警 0 | 宣 1 | 声 2 | 富 3 | 紧 4 | 

抓 : 未 0 | 远 1 | 富 2 | 照 3 | 宣 4 | 

型 : 图 0 | 欧 1 | 照 2 | 评 3 | 远 4 | 

热 : 养 0 | 满 1 | 评 2 | 让 3 | 欧 4 | 

灾 : 即 0 | 泽 1 | 让 2 | 湖 3 | 满 4 | 

促 : 核 0 | 石 1 | 湖 2 | 客 3 | 泽 4 | 

奇 : 培 0 | 善 1 | 客 2 | 检 3 | 石 4 | 

边 : 乐 0 | 官 1 | 检 2 | 排 3 | 善 4 | 

念 : 察 0 | 危 1 | 排 2 | 销 3 | 官 4 | 

千 : 千 0 | 演 1 | 销 2 | 注 3 | 危 4 | 

亲 : 素 0 | 希 1 | 注 2 | 挥 3 | 演 4 | 

均 : 须 0 | 础 1 | 挥 2 | 阿 3 | 希 4 | 

言 : 执 0 | 印 1 | 阿 2 | 税 3 | 础 4 | 

八 : 突 0 | 尼 1 | 税 2 | 夫 3 | 印 4 | 

伊 : 食 0 | 救 1 | 夫 2 | 按 3 | 尼 4 | 

击 : 言 0 | 态 1 | 按 2 | 贸 3 | 救 4 | 

审 : 病 0 | 古 1 | 贸 2 | 初 3 | 态 4 | 

献 : 占 0 | 尽 1 | 初 2 | 模 3 | 古 4 | 

警 : 低 0 | 斗 1 | 模 2 | 承 3 | 尽 4 | 

师 : 白 0 | 预 1 | 承 2 | 抓 3 | 斗 4 | 

核 : 兰 0 | 版 1 | 抓 2 | 俄 3 | 预 4 | 

察 : 努 0 | 层 1 | 俄 2 | 片 3 | 版 4 | 

图 : 念 0 | 余 1 | 片 2 | 域 3 | 层 4 | 

胜 : 减 0 | 贫 1 | 域 2 | 居 3 | 余 4 | 

客 : 降 0 | 良 1 | 居 2 | 充 3 | 贫 4 | 

湖 : 兵 0 | 胜 1 | 充 2 | 随 3 | 良 4 | 

围 : 你 0 | 伊 1 | 随 2 | 春 3 | 胜 4 | 

字 : 促 0 | 便 1 | 春 2 | 油 3 | 伊 4 | 

购 : … 0 | 劳 1 | 油 2 | 卫 3 | 便 4 | 

树 : 显 0 | 献 1 | 卫 2 | 红 3 | 劳 4 | 

官 : 股 0 | 均 1 | 红 2 | 钱 3 | 献 4 | 

你 : 班 0 | 剧 1 | 钱 2 | 围 3 | 均 4 | 

夫 : 普 0 | 邓 1 | 围 2 | ！ 3 | 剧 4 | 

半 : 份 0 | 字 1 | ！ 2 | 料 3 | 邓 4 | 

版 : 除 0 | 限 1 | 料 2 | 半 3 | 字 4 | 

减 : 修 0 | 措 1 | 半 2 | 算 3 | 限 4 | 

油 : 粮 0 | 担 1 | 算 2 | 货 3 | 措 4 | 

景 : 请 0 | 终 1 | 货 2 | 击 3 | 担 4 | 

阶 : 曾 0 | 六 1 | 击 2 | 阳 3 | 终 4 | 

斗 : 训 0 | 太 1 | 阳 2 | 健 3 | 六 4 | 

班 : 破 0 | 火 1 | 健 2 | 派 3 | 太 4 | 

略 : 馆 0 | 待 1 | 派 2 | 称 3 | 火 4 | 

卫 : 令 0 | 却 1 | 称 2 | 站 3 | 待 4 | 

货 : 田 0 | 号 1 | 站 2 | 送 3 | 却 4 | 

兵 : 云 0 | 景 1 | 送 2 | 黄 3 | 号 4 | 

曾 : 止 0 | 审 1 | 黄 2 | 树 3 | 景 4 | 

请 : 盟 0 | 配 1 | 树 2 | 什 3 | 审 4 | 

扩 : 竞 0 | 私 1 | 什 2 | 刘 3 | 配 4 | 

票 : 且 0 | 『 1 | 刘 2 | 苏 3 | 私 4 | 

福 : 网 0 | 堤 1 | 苏 2 | 铁 3 | 『 4 | 

铁 : 置 0 | 超 1 | 铁 2 | 抢 3 | 堤 4 | 

伟 : 像 0 | 雨 1 | 抢 2 | 底 3 | 超 4 | 

器 : 早 0 | 药 1 | 底 2 | 闻 3 | 雨 4 | 

星 : 愿 0 | 器 1 | 闻 2 | 顿 3 | 药 4 | 

判 : 写 0 | 仍 1 | 顿 2 | 购 3 | 器 4 | 

止 : 贷 0 | 画 1 | 购 2 | 晚 3 | 仍 4 | 

留 : 烈 0 | 午 1 | 晚 2 | 票 3 | 画 4 | 

沙 : 藏 0 | 介 1 | 票 2 | 略 3 | 午 4 | 

云 : 眼 0 | 苦 1 | 略 2 | 试 3 | 介 4 | 

号 : 适 0 | 额 1 | 试 2 | 售 3 | 苦 4 | 

印 : 』 0 | 督 1 | 售 2 | 扩 3 | 额 4 | 

写 : 离 0 | 读 1 | 扩 2 | 汇 3 | 督 4 | 

晚 : 奖 0 | 临 1 | 汇 2 | 捐 3 | 读 4 | 

索 : 龙 0 | 急 1 | 捐 2 | 汉 3 | 临 4 | 

候 : 听 0 | 荣 1 | 汉 2 | 福 3 | 急 4 | 

予 : 旅 0 | 害 1 | 福 2 | 庆 3 | 荣 4 | 

升 : 岁 0 | 园 1 | 庆 2 | 座 3 | 害 4 | 

售 : 飞 0 | 刚 1 | 座 2 | 波 3 | 园 4 | 

征 : 星 0 | 留 1 | 波 2 | 索 3 | 刚 4 | 

密 : 买 0 | 帮 1 | 索 2 | 驻 3 | 留 4 | 

室 : 七 0 | 绍 1 | 驻 2 | 陈 3 | 帮 4 | 

午 : 纳 0 | 互 1 | 陈 2 | 属 3 | 绍 4 | 

绩 : 阶 0 | 宁 1 | 属 2 | 状 3 | 互 4 | 

状 : 牌 0 | 伟 1 | 状 2 | 康 3 | 宁 4 | 

陈 : 轻 0 | 针 1 | 康 2 | 巨 3 | 伟 4 | 

既 : 迎 0 | 讨 1 | 巨 2 | 摄 3 | 针 4 | 

苏 : 密 0 | 草 1 | 摄 2 | 奋 3 | 讨 4 | 

践 : 候 0 | 著 1 | 奋 2 | 靠 3 | 草 4 | 

绍 : 独 0 | 刻 1 | 靠 2 | 欢 3 | 著 4 | 

试 : 控 0 | 损 1 | 欢 2 | 久 3 | 刻 4 | 

独 : 哈 0 | 升 1 | 久 2 | 温 3 | 损 4 | 

障 : 激 0 | 音 1 | 温 2 | 币 3 | 升 4 | 

控 : 庭 0 | 予 1 | 币 2 | 判 3 | 音 4 | 

送 : 章 0 | 既 1 | 判 2 | 吃 3 | 予 4 | 

湾 : 某 0 | 逐 1 | 吃 2 | 搞 3 | 既 4 | 

欢 : 够 0 | 沙 1 | 搞 2 | 召 3 | 逐 4 | 

驻 : 祖 0 | 冲 1 | 召 2 | 另 3 | 沙 4 | 

贯 : 室 0 | 压 1 | 另 2 | 卡 3 | 冲 4 | 

彻 : 编 0 | 践 1 | 卡 2 | 孩 3 | 压 4 | 

括 : 航 0 | 故 1 | 孩 2 | 违 3 | 践 4 | 

压 : 丰 0 | 遇 1 | 违 2 | 托 3 | 故 4 | 

彩 : 顾 0 | 语 1 | 托 2 | 绝 3 | 遇 4 | 

疗 : 括 0 | 找 1 | 绝 2 | 黑 3 | 语 4 | 

补 : 换 0 | 博 1 | 黑 2 | 恩 3 | 找 4 | 

某 : 澳 0 | 夜 1 | 恩 2 | 死 3 | 博 4 | 

夏 : 材 0 | 扬 1 | 死 2 | 威 3 | 夜 4 | 

束 : 征 0 | 木 1 | 威 2 | 招 3 | 扬 4 | 

汽 : 虽 0 | 绩 1 | 招 2 | 例 3 | 木 4 | 

语 : 扶 0 | 脑 1 | 例 2 | 犯 3 | 绩 4 | 

污 : 移 0 | 障 1 | 犯 2 | 洋 3 | 脑 4 | 

觉 : 松 0 | 探 1 | 洋 2 | 歌 3 | 障 4 | 

宝 : 否 0 | 彻 1 | 歌 2 | 免 3 | 探 4 | 

署 : 幅 0 | 韩 1 | 免 2 | 伍 3 | 彻 4 | 

找 : 诉 0 | 守 1 | 伍 2 | 署 3 | 韩 4 | 

卖 : 顺 0 | 纷 1 | 署 2 | 债 3 | 守 4 | 

歌 : 觉 0 | 永 1 | 债 2 | 岸 3 | 纷 4 | 

故 : 疗 0 | 练 1 | 岸 2 | 假 3 | 永 4 | 

短 : 差 0 | 舞 1 | 假 2 | 吉 3 | 练 4 | 

奋 : 毛 0 | 贯 1 | 吉 2 | 贵 3 | 舞 4 | 

幕 : 朱 0 | 束 1 | 贵 2 | 秀 3 | 贯 4 | 

博 : 库 0 | 坦 1 | 秀 2 | 停 3 | 束 4 | 

染 : 短 0 | 映 1 | 停 2 | 缺 3 | 坦 4 | 

坦 : 喜 0 | 血 1 | 缺 2 | 湾 3 | 映 4 | 

藏 : 退 0 | 鲜 1 | 湾 2 | 罪 3 | 血 4 | 

洋 : 街 0 | 塔 1 | 罪 2 | 序 3 | 鲜 4 | 

血 : ／ 0 | 述 1 | 序 2 | 妇 3 | 塔 4 | 

笔 : 店 0 | 补 1 | 妇 2 | 卖 3 | 述 4 | 

舞 : 艰 0 | 奥 1 | 卖 2 | 雷 3 | 补 4 | 

黑 : 拿 0 | 宝 1 | 雷 2 | 绿 3 | 奥 4 | 

甚 : 细 0 | 笔 1 | 绿 2 | 毒 3 | 宝 4 | 

死 : 吸 0 | 测 1 | 毒 2 | 鼓 3 | 笔 4 | 

贵 : 呼 0 | 朝 1 | 鼓 2 | 败 3 | 测 4 | 

脱 : 男 0 | 登 1 | 败 2 | 汽 3 | 朝 4 | 

桥 : 课 0 | 怀 1 | 汽 2 | 签 3 | 登 4 | 

左 : 楼 0 | 录 1 | 签 2 | 归 3 | 怀 4 | 

扶 : 贡 0 | 典 1 | 归 2 | 授 3 | 录 4 | 

守 : 固 0 | 彩 1 | 授 2 | 菜 3 | 典 4 | 

赞 : 堂 0 | 筑 1 | 菜 2 | 胡 3 | 彩 4 | 

斤 : 森 0 | 援 1 | 胡 2 | 杨 3 | 筑 4 | 

岸 : 轮 0 | 筹 1 | 杨 2 | 奇 3 | 援 4 | 

菜 : 瑞 0 | 厅 1 | 奇 2 | 赞 3 | 筹 4 | 

储 : 兼 0 | 脱 1 | 赞 2 | 诺 3 | 厅 4 | 

债 : 综 0 | 繁 1 | 诺 2 | 励 3 | 脱 4 | 

救 : 尚 0 | 川 1 | 励 2 | 付 3 | 繁 4 | 

拥 : 母 0 | 甚 1 | 付 2 | 幕 3 | 川 4 | 

测 : 植 0 | 童 1 | 幕 2 | 延 3 | 甚 4 | 

握 : 套 0 | 污 1 | 延 2 | 谢 3 | 童 4 | 

付 : 左 0 | 拥 1 | 谢 2 | 盛 3 | 污 4 | 

季 : 追 0 | 染 1 | 盛 2 | 船 3 | 拥 4 | 

软 : 鲁 0 | 角 1 | 船 2 | 桥 3 | 染 4 | 

鼓 : 伤 0 | 右 1 | 桥 2 | 申 3 | 角 4 | 

右 : 秘 0 | 岛 1 | 申 2 | 输 3 | 右 4 | 

杂 : 叶 0 | 季 1 | 输 2 | 禁 3 | 岛 4 | 

秋 : 泰 0 | 遍 1 | 禁 2 | 乱 3 | 季 4 | 

岛 : 键 0 | 握 1 | 乱 2 | 夏 3 | 遍 4 | 

借 : 雪 0 | 齐 1 | 夏 2 | 吴 3 | 握 4 | 

援 : 旗 0 | 津 1 | 吴 2 | 播 3 | 齐 4 | 

涉 : 乎 0 | 散 1 | 播 2 | 借 3 | 津 4 | 

∶ : 峰 0 | 亩 1 | 借 2 | 简 3 | 散 4 | 

般 : 陆 0 | 宏 1 | 简 2 | 瓦 3 | 亩 4 | 

累 : 酒 0 | 迅 1 | 瓦 2 | 曲 3 | 宏 4 | 

谢 : 暴 0 | ∶ 1 | 曲 2 | 攻 3 | 迅 4 | 

曼 : 钟 0 | ℃ 1 | 攻 2 | 杂 3 | ∶ 4 | 

课 : 般 0 | 萨 1 | 杂 2 | 吨 3 | ℃ 4 | 

禁 : 鹏 0 | 泛 1 | 吨 2 | 沿 3 | 萨 4 | 

尤 : 途 0 | 孙 1 | 沿 2 | 潮 3 | 泛 4 | 

挑 : 雄 0 | 累 1 | 潮 2 | 毕 3 | 孙 4 | 

兼 : 智 0 | 裁 1 | 毕 2 | 似 3 | 累 4 | 

戏 : 倒 0 | 储 1 | 似 2 | 莫 3 | 裁 4 | 

恢 : 杯 0 | 券 1 | 莫 2 | 冷 3 | 储 4 | 

拓 : 旧 0 | 订 1 | 冷 2 | 夺 3 | 券 4 | 

役 : 择 0 | 矿 1 | 夺 2 | 勇 3 | 订 4 | 

封 : 启 0 | 塞 1 | 勇 2 | 饭 3 | 矿 4 | 

块 : 跨 0 | 涉 1 | 饭 2 | 蒙 3 | 塞 4 | 

杰 : 玉 0 | 怎 1 | 蒙 2 | 浪 3 | 涉 4 | 

振 : 勒 0 | 答 1 | 浪 2 | 赶 3 | 怎 4 | 

灵 : 尤 0 | 味 1 | 赶 2 | 汛 3 | 答 4 | 

裁 : 恢 0 | 拓 1 | 汛 2 | 祝 3 | 味 4 | 

误 : 挑 0 | 丽 1 | 祝 2 | 锦 3 | 拓 4 | 

架 : 勤 0 | 谁 1 | 锦 2 | 父 3 | 丽 4 | 

伤 : 刊 0 | 析 1 | 父 2 | 钢 3 | 谁 4 | 

瑞 : 宗 0 | 仪 1 | 钢 2 | 趋 3 | 析 4 | 

宗 : 哥 0 | 盘 1 | 趋 2 | 封 3 | 仪 4 | 

疑 : 诗 0 | 休 1 | 封 2 | 振 3 | 盘 4 | 

雪 : 阵 0 | 灵 1 | 振 2 | 冠 3 | 休 4 | 

盖 : 伦 0 | 哪 1 | 冠 2 | 亮 3 | 灵 4 | 

谁 : 背 0 | 篇 1 | 亮 2 | 纸 3 | 哪 4 | 

亮 : 黎 0 | 庄 1 | 纸 2 | 誉 3 | 篇 4 | 

庄 : 震 0 | 符 1 | 誉 2 | 邮 3 | 庄 4 | 

伯 : 衣 0 | 丹 1 | 邮 2 | 露 3 | 符 4 | 

仪 : 虑 0 | 抵 1 | 露 2 | 块 3 | 丹 4 | 

野 : 叫 0 | 寻 1 | 块 2 | 挂 3 | 抵 4 | 

