。 : 。 0 | 、 1 | 的 2 | 
空 : 落 0 | 源 1 | 双 2 | 

获 : 财 0 | 往 1 | 验 2 | 

继 : 镇 0 | 花 1 | 断 2 | 

连 : 范 0 | 越 1 | 息 2 | 

讲 : 较 0 | 获 1 | 考 2 | 

士 : 师 0 | 香 1 | 易 2 | 

销 : 热 0 | 容 1 | 讯 2 | 

础 : 功 0 | 英 1 | 存 2 | 

善 : 致 0 | 儿 1 | 依 2 | 

类 : 装 0 | 讲 1 | 继 2 | 

息 : 游 0 | 亲 1 | 爱 2 | 

房 : 足 0 | 稳 1 | 监 2 | 

足 : 边 0 | 八 1 | 复 2 | 

富 : 型 0 | 类 1 | 速 2 | 

演 : 维 0 | 紧 1 | 空 2 | 

厂 : 警 0 | 宣 1 | 声 2 | 

抓 : 未 0 | 远 1 | 富 2 | 

型 : 图 0 | 欧 1 | 照 2 | 

热 : 养 0 | 满 1 | 评 2 | 

灾 : 即 0 | 泽 1 | 让 2 | 

促 : 核 0 | 石 1 | 湖 2 | 

奇 : 培 0 | 善 1 | 客 2 | 

边 : 乐 0 | 官 1 | 检 2 | 

念 : 察 0 | 危 1 | 排 2 | 

千 : 千 0 | 演 1 | 销 2 | 

亲 : 素 0 | 希 1 | 注 2 | 

均 : 须 0 | 础 1 | 挥 2 | 

言 : 执 0 | 印 1 | 阿 2 | 

八 : 突 0 | 尼 1 | 税 2 | 

伊 : 食 0 | 救 1 | 夫 2 | 

击 : 言 0 | 态 1 | 按 2 | 

审 : 病 0 | 古 1 | 贸 2 | 

献 : 占 0 | 尽 1 | 初 2 | 

警 : 低 0 | 斗 1 | 模 2 | 

师 : 白 0 | 预 1 | 承 2 | 

核 : 兰 0 | 版 1 | 抓 2 | 

察 : 努 0 | 层 1 | 俄 2 | 

图 : 念 0 | 余 1 | 片 2 | 

胜 : 减 0 | 贫 1 | 域 2 | 

客 : 降 0 | 良 1 | 居 2 | 

湖 : 兵 0 | 胜 1 | 充 2 | 

围 : 你 0 | 伊 1 | 随 2 | 

字 : 促 0 | 便 1 | 春 2 | 

购 : … 0 | 劳 1 | 油 2 | 

树 : 显 0 | 献 1 | 卫 2 | 

官 : 股 0 | 均 1 | 红 2 | 

你 : 班 0 | 剧 1 | 钱 2 | 

夫 : 普 0 | 邓 1 | 围 2 | 

半 : 份 0 | 字 1 | ！ 2 | 

版 : 除 0 | 限 1 | 料 2 | 

减 : 修 0 | 措 1 | 半 2 | 

油 : 粮 0 | 担 1 | 算 2 | 

景 : 请 0 | 终 1 | 货 2 | 

阶 : 曾 0 | 六 1 | 击 2 | 

斗 : 训 0 | 太 1 | 阳 2 | 

班 : 破 0 | 火 1 | 健 2 | 

略 : 馆 0 | 待 1 | 派 2 | 

卫 : 令 0 | 却 1 | 称 2 | 

货 : 田 0 | 号 1 | 站 2 | 

兵 : 云 0 | 景 1 | 送 2 | 

曾 : 止 0 | 审 1 | 黄 2 | 

请 : 盟 0 | 配 1 | 树 2 | 

扩 : 竞 0 | 私 1 | 什 2 | 

票 : 且 0 | 『 1 | 刘 2 | 

福 : 网 0 | 堤 1 | 苏 2 | 

铁 : 置 0 | 超 1 | 铁 2 | 

伟 : 像 0 | 雨 1 | 抢 2 | 

器 : 早 0 | 药 1 | 底 2 | 

星 : 愿 0 | 器 1 | 闻 2 | 

判 : 写 0 | 仍 1 | 顿 2 | 

止 : 贷 0 | 画 1 | 购 2 | 

留 : 烈 0 | 午 1 | 晚 2 | 

沙 : 藏 0 | 介 1 | 票 2 | 

云 : 眼 0 | 苦 1 | 略 2 | 

号 : 适 0 | 额 1 | 试 2 | 

印 : 』 0 | 督 1 | 售 2 | 

写 : 离 0 | 读 1 | 扩 2 | 

晚 : 奖 0 | 临 1 | 汇 2 | 

索 : 龙 0 | 急 1 | 捐 2 | 

候 : 听 0 | 荣 1 | 汉 2 | 

予 : 旅 0 | 害 1 | 福 2 | 

升 : 岁 0 | 园 1 | 庆 2 | 

售 : 飞 0 | 刚 1 | 座 2 | 

征 : 星 0 | 留 1 | 波 2 | 

密 : 买 0 | 帮 1 | 索 2 | 

室 : 七 0 | 绍 1 | 驻 2 | 

午 : 纳 0 | 互 1 | 陈 2 | 

绩 : 阶 0 | 宁 1 | 属 2 | 

状 : 牌 0 | 伟 1 | 状 2 | 

陈 : 轻 0 | 针 1 | 康 2 | 

既 : 迎 0 | 讨 1 | 巨 2 | 

苏 : 密 0 | 草 1 | 摄 2 | 

践 : 候 0 | 著 1 | 奋 2 | 

绍 : 独 0 | 刻 1 | 靠 2 | 

试 : 控 0 | 损 1 | 欢 2 | 

独 : 哈 0 | 升 1 | 久 2 | 

障 : 激 0 | 音 1 | 温 2 | 

控 : 庭 0 | 予 1 | 币 2 | 

送 : 章 0 | 既 1 | 判 2 | 

湾 : 某 0 | 逐 1 | 吃 2 | 

欢 : 够 0 | 沙 1 | 搞 2 | 

驻 : 祖 0 | 冲 1 | 召 2 | 

贯 : 室 0 | 压 1 | 另 2 | 

彻 : 编 0 | 践 1 | 卡 2 | 

括 : 航 0 | 故 1 | 孩 2 | 

压 : 丰 0 | 遇 1 | 违 2 | 

彩 : 顾 0 | 语 1 | 托 2 | 

疗 : 括 0 | 找 1 | 绝 2 | 

补 : 换 0 | 博 1 | 黑 2 | 

某 : 澳 0 | 夜 1 | 恩 2 | 

夏 : 材 0 | 扬 1 | 死 2 | 

束 : 征 0 | 木 1 | 威 2 | 

汽 : 虽 0 | 绩 1 | 招 2 | 

语 : 扶 0 | 脑 1 | 例 2 | 

污 : 移 0 | 障 1 | 犯 2 | 

觉 : 松 0 | 探 1 | 洋 2 | 

宝 : 否 0 | 彻 1 | 歌 2 | 

署 : 幅 0 | 韩 1 | 免 2 | 

找 : 诉 0 | 守 1 | 伍 2 | 

卖 : 顺 0 | 纷 1 | 署 2 | 

歌 : 觉 0 | 永 1 | 债 2 | 

故 : 疗 0 | 练 1 | 岸 2 | 

短 : 差 0 | 舞 1 | 假 2 | 

奋 : 毛 0 | 贯 1 | 吉 2 | 

幕 : 朱 0 | 束 1 | 贵 2 | 

博 : 库 0 | 坦 1 | 秀 2 | 

染 : 短 0 | 映 1 | 停 2 | 

坦 : 喜 0 | 血 1 | 缺 2 | 

藏 : 退 0 | 鲜 1 | 湾 2 | 

洋 : 街 0 | 塔 1 | 罪 2 | 

血 : ／ 0 | 述 1 | 序 2 | 

笔 : 店 0 | 补 1 | 妇 2 | 

舞 : 艰 0 | 奥 1 | 卖 2 | 

黑 : 拿 0 | 宝 1 | 雷 2 | 

甚 : 细 0 | 笔 1 | 绿 2 | 

死 : 吸 0 | 测 1 | 毒 2 | 

贵 : 呼 0 | 朝 1 | 鼓 2 | 

脱 : 男 0 | 登 1 | 败 2 | 

桥 : 课 0 | 怀 1 | 汽 2 | 

左 : 楼 0 | 录 1 | 签 2 | 

扶 : 贡 0 | 典 1 | 归 2 | 

守 : 固 0 | 彩 1 | 授 2 | 

赞 : 堂 0 | 筑 1 | 菜 2 | 

斤 : 森 0 | 援 1 | 胡 2 | 

岸 : 轮 0 | 筹 1 | 杨 2 | 

菜 : 瑞 0 | 厅 1 | 奇 2 | 

储 : 兼 0 | 脱 1 | 赞 2 | 

债 : 综 0 | 繁 1 | 诺 2 | 

救 : 尚 0 | 川 1 | 励 2 | 

拥 : 母 0 | 甚 1 | 付 2 | 

测 : 植 0 | 童 1 | 幕 2 | 

握 : 套 0 | 污 1 | 延 2 | 

付 : 左 0 | 拥 1 | 谢 2 | 

季 : 追 0 | 染 1 | 盛 2 | 

软 : 鲁 0 | 角 1 | 船 2 | 

鼓 : 伤 0 | 右 1 | 桥 2 | 

右 : 秘 0 | 岛 1 | 申 2 | 

杂 : 叶 0 | 季 1 | 输 2 | 

秋 : 泰 0 | 遍 1 | 禁 2 | 

岛 : 键 0 | 握 1 | 乱 2 | 

借 : 雪 0 | 齐 1 | 夏 2 | 

援 : 旗 0 | 津 1 | 吴 2 | 

涉 : 乎 0 | 散 1 | 播 2 | 

∶ : 峰 0 | 亩 1 | 借 2 | 

般 : 陆 0 | 宏 1 | 简 2 | 

累 : 酒 0 | 迅 1 | 瓦 2 | 

谢 : 暴 0 | ∶ 1 | 曲 2 | 

曼 : 钟 0 | ℃ 1 | 攻 2 | 

课 : 般 0 | 萨 1 | 杂 2 | 

禁 : 鹏 0 | 泛 1 | 吨 2 | 

尤 : 途 0 | 孙 1 | 沿 2 | 

挑 : 雄 0 | 累 1 | 潮 2 | 

兼 : 智 0 | 裁 1 | 毕 2 | 

戏 : 倒 0 | 储 1 | 似 2 | 

恢 : 杯 0 | 券 1 | 莫 2 | 

拓 : 旧 0 | 订 1 | 冷 2 | 

役 : 择 0 | 矿 1 | 夺 2 | 

封 : 启 0 | 塞 1 | 勇 2 | 

块 : 跨 0 | 涉 1 | 饭 2 | 

杰 : 玉 0 | 怎 1 | 蒙 2 | 

振 : 勒 0 | 答 1 | 浪 2 | 

灵 : 尤 0 | 味 1 | 赶 2 | 

裁 : 恢 0 | 拓 1 | 汛 2 | 

误 : 挑 0 | 丽 1 | 祝 2 | 

架 : 勤 0 | 谁 1 | 锦 2 | 

伤 : 刊 0 | 析 1 | 父 2 | 

瑞 : 宗 0 | 仪 1 | 钢 2 | 

宗 : 哥 0 | 盘 1 | 趋 2 | 

疑 : 诗 0 | 休 1 | 封 2 | 

雪 : 阵 0 | 灵 1 | 振 2 | 

盖 : 伦 0 | 哪 1 | 冠 2 | 

谁 : 背 0 | 篇 1 | 亮 2 | 

亮 : 黎 0 | 庄 1 | 纸 2 | 

庄 : 震 0 | 符 1 | 誉 2 | 

伯 : 衣 0 | 丹 1 | 邮 2 | 

仪 : 虑 0 | 抵 1 | 露 2 | 

野 : 叫 0 | 寻 1 | 块 2 | 

宽 : 赵 0 | 览 1 | 挂 2 | 

冬 : 野 0 | 厚 1 | 络 2 | 

径 : 埃 0 | 掌 1 | 麦 2 | 

渐 : 迹 0 | 微 1 | 扎 2 | 

邦 : ’ 0 | 戏 1 | 异 2 | 

瓦 : 坏 0 | 聚 1 | 遭 2 | 

偿 : 棋 0 | 牛 1 | 昌 2 | 

萨 : 鱼 0 | 错 1 | 赴 2 | 

摆 : 邀 0 | 患 1 | 杰 2 | 

暴 : 悉 0 | 盾 1 | 遗 2 | 

跃 : 误 0 | 残 1 | 冬 2 | 

鹏 : 坐 0 | 弱 1 | 辆 2 | 

徐 : 尊 0 | 腐 1 | 礼 2 | 

疾 : 伯 0 | 杜 1 | 疑 2 | 

偏 : 概 0 | 朗 1 | 含 2 | 

微 : 摆 0 | 射 1 | 架 2 | 

析 : 壮 0 | 惠 1 | 谋 2 | 

勤 : 斤 0 | 宾 1 | 董 2 | 

叫 : 邦 0 | 卢 1 | 宽 2 | 

避 : 疾 0 | 罚 1 | 徐 2 | 

邀 : 缓 0 | 梅 1 | 笑 2 | 

尊 : 伴 0 | 秋 1 | 棉 2 | 

佳 : 避 0 | 诚 1 | 软 2 | 

抵 : 迫 0 | 板 1 | 佳 2 | 

阵 : 莱 0 | 辉 1 | 伙 2 | 

坐 : 唱 0 | 径 1 | 熟 2 | 

伐 : Ａ 0 | 竟 1 | 亏 2 | 

欠 : 忘 0 | 煤 1 | 赠 2 | 

牛 : 宜 0 | 锋 1 | 乌 2 | 

乌 : 忠 0 | 唐 1 | 呢 2 | 

迹 : 端 0 | 静 1 | 拍 2 | 

邮 : 偿 0 | 盖 1 | 句 2 | 

硬 : 若 0 | 贝 1 | 渐 2 | 

缩 : 透 0 | 沃 1 | 折 2 | 

词 : 脚 0 | 辽 1 | 屋 2 | 

遗 : 恶 0 | 硬 1 | 胞 2 | 

穿 : 沈 0 | 跃 1 | 姓 2 | 

朋 : 烟 0 | 穿 1 | 怕 2 | 

屋 : 载 0 | 虎 1 | 距 2 | 

患 : 朋 0 | 顶 1 | 沉 2 | 

零 : 涛 0 | 皮 1 | 肯 2 | 

皮 : 账 0 | 郑 1 | 洁 2 | 

昌 : 享 0 | 矛 1 | 偏 2 | 

拔 : 操 0 | 洛 1 | 坡 2 | 

册 : 潜 0 | 附 1 | 惊 2 | 

敢 : 疆 0 | 敬 1 | 廉 2 | 

衣 : 荒 0 | 纽 1 | 龄 2 | 

弹 : 乘 0 | 珍 1 | 殊 2 | 

翻 : 凡 0 | 询 1 | 牙 2 | 

洛 : 跌 0 | 租 1 | 牧 2 | 

媒 : 冰 0 | 亡 1 | 倍 2 | 

轨 : 册 0 | 骨 1 | 梁 2 | 

痛 : 翻 0 | 痛 1 | 撤 2 | 

截 : 闭 0 | 幸 1 | 奉 2 | 

洁 : 词 0 | 刑 1 | 弹 2 | 

跟 : 跑 0 | 辛 1 | 灯 2 | 

董 : 晓 0 | 鉴 1 | 旦 2 | 

洞 : 敦 0 | 截 1 | 唯 2 | 

句 : 箱 0 | 零 1 | 敢 2 | 

掉 : 杀 0 | 纯 1 | 墨 2 | 

麦 : 昨 0 | 缩 1 | 忙 2 | 

幸 : 贺 0 | 媒 1 | 迪 2 | 

赴 : 耕 0 | 舍 1 | 弟 2 | 

卷 : 奔 0 | 估 1 | 隆 2 | 

疆 : 拔 0 | 丁 1 | 衡 2 | 

触 : 洞 0 | 泉 1 | 渠 2 | 

乏 : 桑 0 | 卷 1 | 井 2 | 

末 : 慰 0 | 跟 1 | 乏 2 | 

浙 : 掉 0 | 浙 1 | 倾 2 | 

稻 : 肉 0 | 泥 1 | 雅 2 | 

械 : 迷 0 | 肃 1 | 贴 2 | 

珠 : 谷 0 | 阔 1 | 滨 2 | 

谊 : 侵 0 | 趣 1 | 爆 2 | 

遵 : 姆 0 | 绕 1 | 伐 2 | 

贴 : 冒 0 | 宫 1 | 末 2 | 

润 : 触 0 | 晨 1 | 润 2 | 

估 : 妈 0 | ‘ 1 | Ｃ 2 | 

返 : 醒 0 | 谊 1 | 戴 2 | 

覆 : 肥 0 | 忧 1 | 钦 2 | 

净 : 曼 0 | 阴 1 | 赏 2 | 

茶 : 拨 0 | 梦 1 | 徽 2 | 

醒 : 暖 0 | 净 1 | 恐 2 | 

柬 : 珠 0 | 餐 1 | 毁 2 | 

宪 : 疫 0 | 茶 1 | 涌 2 | 

杯 : 滑 0 | 涨 1 | 甲 2 | 

塑 : 篮 0 | 抽 1 | 返 2 | 

弃 : 辞 0 | 圳 1 | 宋 2 | 

贝 : 昆 0 | 拒 1 | 穷 2 | 

灯 : 圣 0 | 窗 1 | 摩 2 | 

胞 : 跳 0 | 荡 1 | 洗 2 | 

混 : 诸 0 | 倡 1 | 毫 2 | 

迈 : 侨 0 | 塑 1 | 劲 2 | 

诸 : 谓 0 | 甘 1 | 履 2 | 

贺 : 峡 0 | 轨 1 | 弃 2 | 

灌 : 档 0 | 赢 1 | 佩 2 | 

铺 : 佛 0 | 羊 1 | 旱 2 | 

℃ : 稿 0 | 虚 1 | 默 2 | 

薄 : 圆 0 | 赖 1 | 纺 2 | 

横 : 菲 0 | 彭 1 | 凝 2 | 

旨 : 聘 0 | 迈 1 | 吁 2 | 

钦 : 漫 0 | 废 1 | 墙 2 | 

扣 : 遵 0 | 浩 1 | 秩 2 | 

寨 : 慢 0 | 阻 1 | 欣 2 | 

暖 : 炼 0 | Ｄ 1 | 貌 2 | 

垃 : 祥 0 | 丝 1 | 渡 2 | 

弟 : 楚 0 | 吗 1 | 迟 2 | 

惯 : 邻 0 | 仁 1 | 呈 2 | 

桑 : 释 0 | 纠 1 | 凭 2 | 

聘 : 沟 0 | 迁 1 | 荷 2 | 

帜 : 寒 0 | 耳 1 | 旨 2 | 

赠 : 籍 0 | 劣 1 | 堡 2 | 

奔 : 坛 0 | 饮 1 | 哲 2 | 

皇 : 蓝 0 | 敏 1 | 厦 2 | 

凭 : 麻 0 | 番 1 | 淮 2 | 

疫 : 舆 0 | 殖 1 | 峻 2 | 

冒 : 氛 0 | 猪 1 | 蓄 2 | 

浩 : 宪 0 | 妻 1 | 摊 2 | 

暂 : 赫 0 | 袋 1 | 耶 2 | 

旁 : 薄 0 | 揭 1 | 横 2 | 

煌 : 械 0 | 胁 1 | 豪 2 | 

默 : 巡 0 | 崇 1 | 循 2 | 

滑 : 乃 0 | 勃 1 | 坝 2 | 

淡 : 阅 0 | 浓 1 | 频 2 | 

揭 : 混 0 | 炸 1 | 缴 2 | 

楚 : 阁 0 | 扣 1 | 旬 2 | 

迷 : 辖 0 | 赔 1 | 灭 2 | 

菲 : 诞 0 | 岚 1 | 苗 2 | 

晴 : 旺 0 | 脸 1 | 嫩 2 | 

墨 : 颁 0 | 辑 1 | 喝 2 | 

旬 : 俗 0 | 拼 1 | 宇 2 | 

忧 : 泪 0 | 汗 1 | 抱 2 | 

扰 : 皇 0 | 晴 1 | 旁 2 | 

蓄 : 俱 0 | 柏 1 | 陷 2 | 

漏 : 惯 0 | 床 1 | 姐 2 | 

蒂 : 辈 0 | 敌 1 | 胆 2 | 

浓 : 猛 0 | 栏 1 | 燃 2 | 

捕 : 毅 0 | 鸡 1 | 搏 2 | 

滨 : 陕 0 | 拖 1 | Ｂ 2 | 

徒 : 颇 0 | 宅 1 | 渔 2 | 

佩 : 郭 0 | 贬 1 | 暂 2 | 

乃 : 枪 0 | 帜 1 | 俊 2 | 

陪 : 忽 0 | 穆 1 | 艾 2 | 

圣 : 替 0 | 徒 1 | 柱 2 | 

旱 : 役 0 | 晤 1 | 陶 2 | 

篮 : 秒 0 | 柬 1 | 朴 2 | 

盗 : 淡 0 | 牵 1 | 娘 2 | 

码 : 芳 0 | 铺 1 | 潘 2 | 

朴 : 桂 0 | 您 1 | 咨 2 | 

焦 : 寄 0 | 嘉 1 | 诊 2 | 

纵 : 症 0 | 孔 1 | 摇 2 | 

懂 : 葡 0 | 烧 1 | 池 2 | 

纲 : 鸟 0 | 寨 1 | 畅 2 | 

毅 : 吧 0 | 兑 1 | 奏 2 | 

抱 : 浮 0 | 递 1 | 辟 2 | 

汗 : 婚 0 | 允 1 | 厉 2 | 

饱 : 畜 0 | 凌 1 | 饱 2 | 

闲 : 纲 0 | 刺 1 | 挖 2 | 

甲 : 犹 0 | 粉 1 | 忆 2 | 

肩 : 腾 0 | 懂 1 | 码 2 | 

阴 : 欠 0 | 妥 1 | 袭 2 | 

泡 : 牢 0 | 夕 1 | 惜 2 | 

畜 : 秦 0 | 盈 1 | 廷 2 | 

辈 : 踏 0 | 胀 1 | 肩 2 | 

袁 : 碑 0 | 裂 1 | 蒋 2 | 

俱 : 赤 0 | 钅 1 | 裕 2 | 

侨 : 陪 0 | 驶 1 | 堵 2 | 

芬 : 刀 0 | 幼 1 | 贾 2 | 

姐 : 挤 0 | 奶 1 | 扫 2 | 

旋 : 寿 0 | 蔬 1 | 煌 2 | 

